Model,Macro-F1,Precision,Recall,MCC,AUC-ROC
XLM-RoBERTa_augmented,0.9738980583212662,0.9753399297729837,0.9725284850438672,0.9478642453357679,0.9955780498736607
XLM-RoBERTa_original,0.9706268114490256,0.9751258978371654,0.9667303099097457,0.9418187883954883,0.9959387046940031
SVM_ORIGINAL,0.951817404364719,0.9537476664058575,0.9500211782423167,0.9037611619463755,
LR_ORIGINAL,0.9438018717151313,0.9436971278050756,0.9439070803958457,0.887604183369983,
SVM_SMOTE,0.9408636062315912,0.937289212360281,0.9452121950777436,0.8824658409677696,
LR_SMOTE,0.9349676877090837,0.9307969404260708,0.9403258545777118,0.8710706766791617,
